 75,105,  0,  5, 28,  8, 16, 52,156, 48, 51,255
 75,105,  0,  5, 28,  8, 16, 52,156, 48, 51,255
 84,136,  0,  7, 37, 21, 35, 47, 94, 65, 66,255
 84,115,  6,  6, 35, 12, 28, 48,106, 61, 66,255
155, 34, 86,  5, 27, 14, 31, 53, 86, 51, 66,255
 75, 98,  0,  4, 27, 10, 19, 52,156, 48, 51,255
 86, 88,  9,  3, 25, 12, 31, 45,114, 34, 51,255
 73, 96,  0,  2, 23, 12,  8, 36,132, 35, 73,255
 84, 85,  3,  5, 27,  7,  7, 47,126, 50, 55,255
 77, 71, 55, 21, 26, 14, 56, 52,124, 83, 92,255
 77, 71, 55, 21, 26, 14, 56, 52,124, 83, 92,255
 61, 85, 12,  4, 37, 12, 34, 43,110, 45, 44,255
 37, 90,  0,  3, 33, 13, 31, 35,170, 42, 70,255
 84, 90, 44,  3, 44,  7, 13, 50,106,191, 40,255
107, 91, 27, 12, 70, 45, 81, 56, 86, 94, 44,255
107, 91, 29, 12, 68, 44, 83, 56, 88,101, 44,255
 99, 34, 86,  4, 35, 30, 56, 48,114, 75, 92,255
 90, 81, 43,  4,152, 13, 29, 47, 77,151, 48,255
 75, 86, 12, 14, 32,  4, 13, 50,130, 40, 36,255
 86, 40, 78,  4,140, 14, 29, 48, 63,123, 44,255
107, 23, 73,  4, 28, 24, 31, 47,132, 44, 51,255
 80, 52, 47,  6, 30, 19, 38, 54,158, 61, 62,255
 86, 59, 32,  3, 41,  7, 18, 46, 88, 98, 55,255
 86, 59, 32,  3, 41,  7, 18, 46, 88, 98, 55,255
 99, 69, 16,  6, 31,  7, 35, 47, 88, 44, 51,255
 65, 54, 21,  7, 32, 17, 19, 47,140, 58, 62,255
 52, 52, 24,  3, 30,  8,  9, 41,122, 48, 48,255
 80, 56, 36,  4, 30,  2,  2, 44,110, 53, 55,255
 69,107,  0,  5, 30, 11, 17, 49,148, 47, 51,255
 84, 96,  0,  5, 30,  6,  5, 45,130, 53, 66,255
 61,101, 10,  7, 33, 14, 44, 42,124, 45, 77,255
 65,102,  0,  7, 40, 18, 18, 46,146, 50, 96,255
 94, 97, 18,  6, 31, 12, 62, 46, 88, 63, 66,255
